Rank,PoS
641,adj
642,verb
643,adj
644,adj
645,verb
646,noun
647,verb
648,adj
649,verb
650,pron
651,verb
652,noun
653,verb
654,noun
655,verb
656,noun
657,verb
658,verb
659,noun
660,adj
661,noun
662,adj
663,verb
664,verb
665,noun
666,noun
667,noun
668,noun
669,pron
670,adv
671,noun
672,verb
673,noun
674,verb
675,det
676,adj
677,noun
678,noun
679,noun
680,verb
681,verb
682,adj
683,verb
684,adv
685,noun
686,verb
687,noun
688,adj
689,noun
690,adj
691,noun
692,noun
693,noun
694,noun
695,verb
696,verb
697,adv
698,adj
699,noun
700,adj
701,noun
702,noun
703,adv
704,noun
705,noun
706,noun
707,noun
708,verb
709,noun
710,noun
711,verb
712,noun
713,noun
714,noun
715,noun
716,noun
717,verb
718,verb
719,adv
720,adj
721,noun
722,noun
723,noun
724,verb
725,noun
726,adv
727,noun
728,adv
729,verb
730,verb
731,verb
732,noun
733,verb
734,noun
735,noun
736,noun
737,verb
738,noun
739,noun
740,verb
741,noun
742,noun
743,verb
744,noun
745,noun
746,verb
747,noun
748,verb
749,noun
750,noun
751,noun
752,noun
753,adj
754,pron
755,noun
756,noun
757,noun
758,noun
759,noun
760,noun
761,adv
762,noun
763,noun
764,noun
765,intj
766,noun
767,noun
768,adv
769,noun
770,verb
771,prep
772,verb
773,noun
774,adj
775,verb
776,verb
777,noun
778,verb
779,noun
780,noun
781,noun
782,noun
783,adv
784,verb
785,noun
786,verb
787,noun
788,noun
789,adj
790,adj
791,adj
792,adj
793,noun
794,noun
795,noun
796,adj
797,noun
798,noun
799,verb
800,adj
801,noun
802,noun
803,noun
804,verb
805,verb
806,noun
807,aux
808,adj
809,noun
810,noun
811,noun
812,pron
813,verb
814,noun
815,noun
816,adj
817,verb
818,verb
819,verb
820,noun
821,noun
822,verb
823,verb
824,noun
825,adv
826,verb
827,noun
828,verb
829,adj
830,noun
831,noun
832,noun
833,verb
834,verb
835,noun
836,verb
837,verb
838,noun
839,adj
840,prep
841,adj
842,verb
843,verb
844,verb
845,noun
846,noun
847,adv
848,noun
849,noun
850,verb
851,noun
852,verb
853,noun
854,adj
855,noun
856,noun
857,adj
858,adj
859,noun
860,noun
861,adj
862,noun
863,noun
864,noun
865,verb
866,adj
867,verb
868,noun
869,verb
870,noun
871,adj
872,verb
873,noun
874,noun
875,noun
876,verb
877,verb
878,noun
879,noun
880,verb
881,noun
882,noun
883,noun
884,adj
885,adv
886,adj
887,noun
888,verb
889,adj
890,adj
891,noun
892,adv
893,noun
894,noun
895,noun
896,prep
897,noun
898,noun
899,verb
900,verb
901,adj
902,verb
903,noun
904,noun
905,noun
906,verb
907,noun
908,noun
909,noun
910,adj
911,verb
912,noun
913,adj
914,verb
915,verb
916,noun
917,adj
918,noun
919,noun
920,noun
921,adj
922,adj
923,verb
924,intj
925,verb
926,noun
927,verb
928,noun
929,verb
930,noun
931,noun
932,pron
933,noun
934,verb
935,adj
936,pron
937,noun
938,noun
939,noun
940,noun
941,verb
942,verb
943,noun
944,verb
945,verb
946,adj
947,noun
948,verb
949,verb
950,noun
951,noun
952,noun
953,noun
954,adv
955,noun
956,noun
957,verb
958,verb
959,adv
960,adj
961,noun
962,adj
963,noun
964,noun
965,noun
966,conj
967,noun
968,adv
969,noun
970,noun
971,noun
972,verb
973,adv
974,verb
975,intj
976,noun
977,adj
978,noun
979,noun
980,noun
981,pron
982,noun
983,noun
984,noun
985,noun
986,adv
987,noun
988,verb
989,noun
990,noun
991,adj
992,verb
993,verb
994,pron
995,adv
996,noun
997,noun
998,adj
999,noun
1000,verb
1001,verb
1002,verb
1003,conj
1004,adj
1005,verb
1006,verb
1007,noun
1008,noun
1009,verb
1010,adj
1011,noun
1012,pron
1013,verb
1014,noun
1015,adj
1016,noun
1017,adj
1018,verb
1019,adj
1020,verb
1021,noun
1022,noun
1023,noun
1024,verb
1025,adj
1026,verb
1027,verb
1028,noun
1029,adj
1030,adj
1031,adj
1032,verb
1033,verb
1034,noun
1035,verb
1036,noun
1037,adj
1038,noun
1039,verb
1040,noun
1041,noun
1042,verb
1043,noun
1044,noun
1045,adj
1046,noun
1047,noun
1048,verb
1049,adv
1050,adj
1051,verb
1052,verb
1053,noun
1054,adv
1055,noun
1056,adj
1057,noun
1058,noun
1059,adj
1060,verb
1061,noun
1062,verb
1063,noun
1064,noun
1065,adj
1066,noun
1067,verb
1068,verb
1069,noun
1070,adj
1071,verb
1072,adv
1073,verb
1074,adj
1075,adj
1076,adv
1077,verb
1078,adj
1079,adj
